CountermeasureID,Countermeasure,Key Stakeholder,Benefit-cost ratio,CMF1,CMF1 Link,Sev1,AreaType1,CrashType1,StarRating1,CMF2,CMF2 Link,Sev2,AreaType2,CrashType2,StarRating2,Short Description,Countermeasure 1,Countermeasure 2,Countermeasure 3,How and where to apply,Use in a Safe System Approach,Proactive Implementation,Emphasis area,Target Crash,Contributing Factors,SSA Pillars,SSA Hierarchy,AASHTO,NCHRP 500 Series Objective,N500St,Road Type,Service Life,Cost,Countermeasure Staus_OnlyforTool,Keyword_OnlyForTool
treatnew004,Self Enforcing Roads,"State DOT, Local Government, MPOs, Engineering Consultants, Community Associations, Safety Advocacy Groups",2.7:1,,,All,Urban,All,,,,All,All,All,,Self-enforcing roads are designed with physical and visual elements that naturally encourage drivers to travel at safe speeds without the need for frequent enforcement.,"Narrowed lane widths and edge lines
","Horizontal alignment or chicanes
",Raised crosswalks and curb extensions,"1. These treatments are ideal for corridors with speeding concerns?especially in residential, school, or transition zones between high-speed and low-speed areas.
2. They can be implemented through new designs or retrofitted using speed-reducing geometry, narrowed lanes, horizontal deflection, and high-contrast pavement markings.
3. Best suited for urban and suburban roads with high crash risks, where features like narrow lanes and visual cues naturally slow drivers. Avoid where high-speed rural highways or emergency routes, where restrictive designs may impede access or delay response times.","Self-enforcing roads support the Safe Speeds and Safe Roads pillars of the Safe System Approach.  They use design elements to naturally slow drivers, addressing human errors and vulnerabilities to prevent crashes and serious injuries.?","Agencies can apply systemic analysis to identify corridors where observed speeds exceed posted limits. Integration into complete streets policies and corridor reconstruction projects can yield low-cost, long-term speed compliance benefits. Treatments such as gateway signage, narrow lane striping, and roadside environment changes can create intuitive, self-regulating environments.",Speeding,"Speeding, VRUs","Speeding, driver complacency",Safe Road Users,Tier 2: Reduce Vehicle Speeds,Safer Infrastructure,Keep vehicles from encroaching into opposite lane,Provide center two-way left-turn lanes for four- and two-lane roads,N/A,20,High,New,Self-enforcing design; road geometry; speed control; behavioral design; passive enforcement; traffic calming
treatnew005,Raised Crosswalk,"State DOT, Local Government, MPOs, Pedestrian Advocacy Groups, Community Associations, Safety Advocacy Groups",,,,All,Urban,All,,,,All,All,All,,"A raised crosswalk is a marked pedestrian crossing built on a flat-topped speed table, designed to slow vehicles and improve pedestrian visibility and safety.",Install curb extensions,Add pedestrian refuge islands,Install pedestrian hybrid beacons,"1. Raised crosswalks are effective at mid-block or intersection crossings with moderate-to-high pedestrian activity.
2. Best suited for local or collector roads with posted speeds of 30 mph or lower.
3. Best suited for urban areas with high pedestrian traffic, like school zones or busy crossings, where raised crosswalks slow vehicles and enhance visibility. Avoid where high-speed roads or emergency routes, as raised crosswalks may delay vehicles and disrupt critical access.?","A raised crosswalk supports the Safe Roads and Safe Speeds pillars of the Safe System Approach. It slows vehicles and enhances pedestrian visibility, addressing human errors and vulnerabilities to prevent crashes and serious injuries.?","Raised crosswalks can be installed proactively using data-driven screening approaches. Common indicators include high pedestrian activity, school zones, or midblock crossings without signals. Systemic risk factors like speeding, low yielding rates, or documented near misses are often used for location prioritization. Raised crosswalks may also be bundled into broader traffic calming programs.",Pedestrian and Bicyclists,Crossing-related,"High speed pedestrian-vehicle conflicts, reduced  visibility, failure to yield",Safe Speeds,Tier 2: Reduce Vehicle Speeds,Safer Vulnerable Users,Reduce Pedestrian Exposure to Vehicular Traffic,Construct Pedestrian Refuge Islands and Raised Medians ,N/A,20,Moderate,New,Raised crosswalk; vertical deflection; pedestrian priority; speed reduction; intersection safety; visibility
treatnew006,Gateways,"State DOT, Local Government, MPOs, Community Associations, Safety Advocacy Groups",xx,,,All,All,All,,,,All,All,All,,"Gateway treatments are low-cost visual or physical roadway features installed at transition points (e.g., entrances to residential or village areas) to alert drivers that a lower speed environment is beginning.","Install Speed Feedback Signs
",Implement horizontal deflection,Use transverse pavement markings,"1. Installed at entrances to communities, school zones, or speed transition zones where drivers need to slow down quickly and consistently.
2. Effective at reducing speeds on roads transitioning from high-speed rural/arterial sections into lower-speed village, school, or residential areas.
3. According to FHWA guidance, flexible posts should be installed where space allows, ensuring continuous protection while maintaining vehicle flow.","Supports Safer Road Users and Safer Roads by physically separating cyclists from motor vehicles, reducing the severity of potential conflicts. The vertical separation helps drivers stay aware of bicyclists and encourages better yielding behavior.","Gateway treatments can be implemented as part of corridor-wide speed management or traffic calming strategies. They may be proactively deployed at locations with documented speeding issues or a history of crashes, or in response to community-requested safety improvements. These treatments are also suitable for transition zones leading into areas with vulnerable road users, such as schools, senior centers, or parks.",Speeding,Speeding,"Abrupt speed changes, reduced driver awareness entering urban areas",Safe Speeds,Tier 2: Reduce Vehicle Speeds,Safer Infrastructure,Ensure that roadway design and traffic control elements support appropriate and safe speeds,Effect safe speed transitions through design elements and on approaches to lower speed areas ,N/A,10,Moderate,New,Gateways; transition zone; speed cue; neighborhood entry; traffic calming; psychological narrowing
treatnew007,Speed Hump,"State DOT, Local Government, MPOs, Community Associations, Pedestrian/Bicyclist Advocacy Groups, Safety Advocacy Groups",18.2:1,,,All,Urban,All,,,,All,All,All,,"Speed humps are parabolic traffic calming devices used on low-speed, low-volume roads to reduce vehicle speeds to 15?20 mph",Reduced lane widths,Road diet,Center island or median,,,,Speeding,"Speeding, VRUs","Speeding,  reduced reaction time",Safe Speeds,Tier 2: Reduce Vehicle Speeds,Safer Infrastructure,Heighten driver awareness of speeding-related safety issues,Implement neighborhood speed watch/traffic management programs (Low Speed Only) ,N/A,10,Moderate,New,Speed hump; traffic calming; vertical deflection; speed control; low-speed environment; residential safety
treatnew008,Pedestrian Scramble,"State DOT, Local Government, MPOs, Traffic Engineers, Pedestrian/Bicyclist Advocacy Groups, Safety Advocacy Groups, Community Associations",xx,,,All,Urban,All,,,,All,All,All,,"A pedestrian scramble halts all vehicle traffic to allow pedestrians to cross in all directions, at intersections with high pedestrian and turning vehicle volumes.","Leading Pedestrian Interval (LPI)
","Curb Extensions (Bulb-outs)
",Accessible Pedestrian Signals (APS),"1. Apply at signalized intersections experiencing high pedestrian volumes and frequent vehicle turning movements that create conflict and safety concerns.
2. Ideal for downtown areas, near schools, or busy transit hubs where enhancing pedestrian priority, comfort, and safety is a key goal.
3. The FHWA states that this marking can be used ?Providing an exclusive pedestrian phase?such as a pedestrian scramble?can significantly reduce vehicle-pedestrian conflicts, especially at intersections with high turning volumes.?","Pedestrian scrambles manage conflict in time, eliminating vehicle-pedestrian interaction during crossings, reducing crash risk, enhancing visibility, and supporting multimodal safety in high-foot-traffic areas under SSA principles.","Proactively identify intersections with high pedestrian volumes, crash history, or frequent turning conflicts using data analysis and on-site evaluations. Implement pedestrian scrambles during signal retiming, safety audits, or capital improvements to reduce crash risk, enhance walkability, and support long-term Vision Zero or Complete Streets goals.",Pedestrian and Bicyclists,Intersection-related,"Jaywalking, lack of pedestrian crossing priority",Safe Road Users,Tier 3: Manage Conflicts in Time,Safer Vulnerable Users,Reduce Pedestrian Exposure to Vehicular Traffic,Install or Upgrade Traffic and Pedestrian Signals,N/A,10,Moderate to High,New,Pedestrian scramble; diagonal crossing; exclusive pedestrian phase; intersection safety; pedestrian priority; signal timing
treatnew011,Medians and Pedestrian Refuge Islands,"State DOT, Local Government, MPOs, Engineering Consultants, Construction Contractors, Pedestrian/Bicyclist Advocacy Groups, Safety Advocacy Groups, Community Associations",xx,,,All,Urban,All,,,,All,All,All,,This is a median area designed to protect pedestrians crossing multi-lane roads by providing a safe midpoint between opposing traffic lanes.,"Raised Crosswalks
","Leading Pedestrian Intervals (LPI)
",High-Visibility Crosswalk Markings,"1. Use on multilane roads with three or more lanes, speeds of 35 mph or higher, and traffic volumes exceeding 9,000 vehicles daily.
2. Apply at midblock or unsignalized crossings where high pedestrian activity and insufficient crossing time increase exposure and crash risk..
3. The FHWA states that this marking can be used ?Raised medians and pedestrian refuge islands at marked crosswalks reduce pedestrian crashes by 46% and 56%, respectively.?","Medians and refuge islands support the Safe System Approach by reducing pedestrian exposure time, managing speeds, simplifying crossings, and providing protection in multilane environments with high-speed or high-volume traffic.","Identify multilane corridors with high pedestrian activity, crash history, or speed issues using safety audits and traffic data. Install medians and refuge islands during repaving, safety upgrades, or corridor redesigns to reduce pedestrian risk before severe incidents occur, especially near schools, transit, or senior facilities.",Pedestrian and Bicyclists,Crossing-related,"Difficulty for pedestrians crossing wide roads, midblock pedestrian-vehicle conflicts",Safe Road Users,Tier 1: Remove severe conflicts,Safer Vulnerable Users,Reduce Pedestrian Exposure to Vehicular Traffic,Construct Pedestrian Refuge Islands and Raised Medians ,N/A,20,Moderate to High,New,Median island; pedestrian refuge; midblock safety; crossing aid; access management; conflict reduction
treatnew015,Vehicle activated speed limit,"State DOT, Local Government, MPOs, Traffic Engineers, Law Enforcement, Safety Advocacy Groups, Community Associations",xx,,,All,Urban,All,,,,All,All,All,,"Protective blisters, also known as tactile paving or truncated domes, are textured ground surface indicators installed at pedestrian crossings and curb corners",Dynamic Speed Display Signs (DSDS),School Zone Flashing Beacons,Speed Feedback Trailers,"1. Install protective blisters at curb ramps and crosswalk corners to alert visually impaired pedestrians of the roadway transition and improve intersection safety.
2. Apply tactile blisters in transit platforms, pedestrian islands, and shared spaces to guide users where curbs or crossings may not be visually distinct.
3. Ensure blisters align with the crossing direction, use high-contrast colors, and meet accessibility standards to support safe, independent navigation for all pedestrians.","Apply a Safe System approach by installing protective blisters to support vulnerable users, especially the visually impaired. These features acknowledge human limitations, reduce crossing-related risks, and enhance intersection safety by creating a predictable, accessible, and forgiving environment that prevents harm even when pedestrian or driver errors occur.","Proactive implementation involves installing protective blisters before complaints or incidents arise, especially in pedestrian-heavy or high-risk locations. By identifying potential barriers and hazards early through audits, community input, or safety assessments agencies can enhance accessibility, reduce injury risk, and align with Safe System and universal design principles. ",Speeding,Speeding,"Speeding, risky overtaking",Safe Speeds,Tier 4: Increase attentiveness and awareness,Improved Safety Management,Heighten driver awareness of speeding-related safety issues,Implement neighborhood speed watch/traffic management programs (Low Speed Only) ,N/A,10,Moderate,New,Vehicle activated sign; dynamic speed display; real-time warning; speed limit compliance; rural safety; behavioral feedback
treatnew016,Protective blisters on corners,"State DOT, Local Government, MPOs, Pedestrian/Bicyclist Advocacy Groups, Engineering Consultants, Construction Contractors",xx,,,All,Urban,All,,,,All,All,All,,Vehicle setback refers to the restriction of parking or stopping vehicles within a defined distance typically 20 to 30 feet from intersections or pedestrian crossings.,No-Parking Signage and Pavement,Flexible Bollards or Planters,Pedestrian Refuge Islands,"1. Establish no-parking zones 20?30 feet from intersections or crosswalks using signage, pavement markings, and where feasible, curb extensions or flexible bollards to physically prevent illegal parking and improve visibility.
2. Target urban streets with on-street parking, especially at unsignalized intersections, midblock crossings, school zones, and areas with high pedestrian volumes or a history of visibility-related crashes.
3. Update local ordinances, educate the public about visibility risks, and coordinate with transit and emergency services to ensure operational needs are met while maintaining safety benefits.","Vehicle setbacks align with the Safe System approach by proactively addressing human limitations and prioritizing visibility at intersections. By removing parked vehicles near crosswalks and corners, setbacks reduce the likelihood of crashes and the severity of injuries especially for vulnerable users like children, older adults, and people with disabilities. ",,Pedestrian and Bicyclists,Encroachment-related,"Reduced visibility, vehicle encroachment into pedestrian/bicycle zones",Safe Roads,Tier 2: Reduce Vehicle Speeds,Safer Vulnerable Users,Reduce Pedestrian Exposure to Vehicular Traffic,Provide Vehicle Restriction/Diversion Measures,N/A,20,Moderate,New,Corner blisters; protective curb extension; pedestrian safety; intersection corner treatment; space buffer; visibility
treatnew017,Vehicle setback,"State DOT, Local Government (planning/zoning), MPOs, Business Owners, Community Associations",xx,,,All,Urban,All,,,,All,All,All,,Vehicle setback refers to the restriction of parking or stopping vehicles within a defined distance typically 20 to 30 feet from intersections or pedestrian crossings.,No-Parking Signage and Pavement,Pedestrian Refuge Islands,Flexible Bollards or Planters,,,,Pedestrian and Bicyclists,Improper turn,"Driver misjudgment, failure to yield",Safe Roads,Tier 1: Remove severe conflicts,Safer Vulnerable Users,Reduce Pedestrian Exposure to Vehicular Traffic,Provide Vehicle Restriction/Diversion Measures,N/A,3,Low,New,Vehicle setback; driveway safety; visibility triangle; pedestrian sight distance; driveway control; urban design
treatnew019,"Improved delineation (painted bicycle lanes, buffered bicycle lanes)","State DOT, Local Government, MPOs, Bicycle Advocacy Groups, Community Associations, Safety Advocacy Groups",xx,,,All,Urban,All,,,,All,All,All,,"Improved delineation uses pavement markings and buffers to define bicycle space, enhancing safety, visibility, and separation from motor vehicles.",Protected Bicycle Lanes,Intersection Bicycle Boxes,Traffic Calming Measures,,,,Pedestrian and Bicyclists,"Right turn, Sideswipe","Reduced visibility, failure to yield",Safe Roads,Tier 4: Increase attentiveness and awareness,Safer Vulnerable Users,Reduce bicycle crashes along roadways,Provide safe roadway facilities for parallel travel ,N/A,3,Low,New,Bicycle lane markings; buffered bike lane; painted bike lane; lane visibility; visual separation; bike safety
treatnew020,Bicycle Box,"State DOT, Local Government, MPOs, Bicycle Advocacy Groups, Traffic Engineers, Community Associations",xx,,,All,Urban,All,,,,All,All,All,,A bicycle box is a marked area at the front of a signalized intersection between the vehicle stop line and the crosswalk.,Leading Bicycle Intervals (LBI),Dedicated Bicycle Signals,Protected Intersections,,,,Pedestrian and Bicyclists,Failure to yield,"Reduced visibility, confusion about right of way",Safe Roads,Tier 3: Manage Conflicts in Time,Safer Vulnerable Users,Reduce bicycle crashes at intersections,Improve pavement markings at intersections ,N/A,3,Low,New,Bike box; advanced stop line; cyclist visibility; intersection safety; head start; conflict mitigation
treatnew021,Raised Intersection,"State DOT, Local Government, MPOs, Pedestrian/Bicyclist Advocacy Groups, Safety Advocacy Groups, Community Associations",0.207,,,All,Urban,All,,,,All,All,All,,"A raised intersection elevates the entire intersection surface to the level of the adjacent sidewalks, creating a continuous, level crossing for pedestrians and a traffic-calming effect for vehicles. ",Raised Crosswalks,Mini-Roundabouts,Textured or Colored Pavement,,,,Pedestrian and Bicyclists,Crossing-related,"Speeding, failure to yield, reduced visibility",Safe Road Users,Tier 2: Reduce Vehicle Speeds,Safer Vulnerable Users,Reduce Pedestrian Exposure to Vehicular Traffic,Construct Pedestrian Refuge Islands and Raised Medians ,N/A,20,Moderate to High,New,Raised intersection; vertical deflection; speed reduction; crosswalk visibility; pedestrian safety; intersection leveling
treatnew022,Horizontal Deflection,"State DOT, Local Government, MPOs, Engineering Consultants, Traffic Engineers, Safety Advocacy Groups",xx,,,All,Urban,All,,,,All,All,All,,"Horizontal deflection involves altering a vehicle?s path laterally using roadway geometry, encouraging drivers to reduce speed",Raised Crosswalks,High-Visibility Crosswalks,Mini-Roundabouts,"Use on local streets with speed complaints or cut-through issues to slow vehicles and enhance pedestrian safety and comfort.?

Apply on moderate-volume collectors needing speed control without vertical elements, especially where emergency access and snow removal are priorities.?

Best suited for urban or suburban roads with high crash rates, where curves or chicanes naturally slow drivers and enhance safety. Avoid where high-speed highways or emergency routes, where deflections may disrupt traffic flow or delay critical access.","Horizontal deflection supports the Safe Speeds and Safe Roads pillars of the Safe System Approach. It uses road design to slow vehicles, addressing human errors and vulnerabilities to prevent crashes and serious injuries.",,Intersection,Speeding,"Speeding, failure to slow",Safe Speeds,Tier 2: Reduce Vehicle Speeds,Safer Vulnerable Users,Improve sight distance at unsignalized intersections,Change horizontal and/or vertical alignment of approaches to provide more sight distance,N/A,20,Moderate,New,Horizontal deflection; chicanes; lateral shift; lane deviation; speed calming; roadway geometry
treatnew023,Dutch Style Bicycle Signals,"State DOT, Local Government, MPOs, Bicycle Advocacy Groups, Traffic Signal Engineers, Community Associations",xx,,,All,Urban,All,,,,All,All,All,,"It uses pavement-embedded sensors to detect cyclists and display a countdown timer, providing a clear, bicycle-specific green phase reducing conflicts.",Protected Intersection,Convert Traditional or Flush Buffered Bike Lane to SBL with Flexi-posts,Intersection Conflict Warning Systems,"1. Use at intersections with high bicycle volumes, turning vehicle conflicts, or complex geometry, especially where standard signals fail to address cyclist safety needs.
2. Prioritize areas with protected bike lanes, schools, transit hubs, or commercial zones to reduce cyclist delay, increase compliance, and improve predictability.
3. Best suited for busy urban intersections with heavy bike traffic, where sensors and timers reduce cyclist-vehicle conflicts and improve safety. Avoid where low-traffic rural or suburban areas with few cyclists, as sensors and signals add unnecessary costs and complexity.?","Bicycle signals with sensors and timers support the Safe Roads pillar of the Safe System Approach. They reduce cyclist-vehicle conflicts by managing traffic flow, addressing human errors and vulnerabilities to prevent crashes and injuries.?","Proactive implementation involves integrating cyclist-specific phases and detection systems during intersection upgrades or new projects before crashes occur. This includes automated detection (e.g., inductive loops or cameras), optimized signal timing, and clear signal visibility, guided by cyclist movement data and aligned with broader initiatives like Vision Zero and Complete Streets programs.",Pedestrian and Bicyclists,Failure to yield,"Failure to yield, lack of prioritization for bicycles",Safe Road Users,Tier 3: Manage Conflicts in Time,Safer Vulnerable Users,Reduce bicycle crashes at intersections,Improve signal timing and detection ,N/A,10,Moderate to High,New,Dutch signals; bicycle priority; dedicated bike signal; intersection safety; multimodal integration; protected phasing
treatnew025,Transverse rumble strip,"State DOT, Local Government, MPOs, Engineering Consultants, Construction Contractors, Freight/Trucking Associations, Safety Advocacy Groups",2.1:1,,,All,Rural,All,,,,All,All,All,,Raised or grooved patterns placed perpendicular across a lane to alert drivers through noise and vibration of upcoming hazards and encourage speed reduction.,Shoulder Rumble Strips,Centerline Rumble Strips,Edgeline Rumble Strips,"Installed perpendicular across the full lane width at locations such as rural stop-controlled intersections, curves, pedestrian crossings, and work zones.
Installed during road resurfacing or as retrofits using materials like thermoplastic, milled asphalt, or epoxy, transverse rumble strips help reduce approach speeds and improve driver reaction times at critical decision points.
Best suited for high-speed roads near hazards like intersections or pedestrian zones, where rumble strips alert drivers and reduce speeds. Avoid where quiet residential areas or roads with heavy bike traffic, as noise and vibration may disturb residents or unsettle cyclists.?","Raised or grooved patterns support the Safe Speeds and Safe Roads pillars of the Safe System Approach. They alert drivers to hazards and reduce speeds, addressing human errors and vulnerabilities to prevent crashes and serious injuries.?","Transverse rumble strips should be installed at high-risk locations during resurfacing or new construction before crashes occur. This includes using materials optimized for durability and visibility, strategically spacing strips to create effective deceleration cues, and combining them with enhanced signage and pavement markings. Implementation is guided by traffic data and integrated within broader safety programs like the SSA.",Roadway Departure,Head-on,"Lane departure, driver inattention",Safe Roads,Tier 4: Increase attentiveness and awareness,Safer Infrastructure,Keep vehicles from encroaching on the roadside,Install midlane rumble strips,N/A,5,Low,New,Transverse rumble strips; alertness enhancement; tactile warning; speed reduction; stop sign approach; inattentiveness mitigation
treatnew027,Lane Departure Warning Systems (LDWS),"Automobile Manufacturers, Technology Providers, NHTSA/FHWA, Insurance Companies, Safety Advocacy Groups",xx,,,All,All,All,,,,All,All,All,,"LDWS are in-vehicle technologies that detect unintended lane drifting using sensors or cameras and alert drivers through visual, audible, or haptic warnings.","Electronic Stability Control (ESC)
","Centerline Rumble Strips
",Edgeline Rumble Strips,"1. Integrated into new or existing vehicles, rather than fixed infrastructure, most effective on highways, rural roads, and high-speed arterials.
2. Deployment is effective where run-off road and cross-median crahes are likely, supported by policies, consumer education, and integration with other driver assistance. technologies like Automatic Emergency Braking (AEB) and Adaptive Cruise Control (ACC).
3. Ensuring well-maintained, visible lane markings on roadways is essential to maximize LDWS performance, as sensor detection depends on clear lane delineation.","LDWS support the SSA by warning drivers of unintended lane departures, helping prevent serious run-off-road and head-on crashes. They complement other vehicle safety systems to improve crash prevention.","Proactive implementation of LDWS involves encouraging widespread integration of these technologies. This includes promoting fleet adoption through incentives, enhancing driver awareness with education campaigns, and ensuring roadways have well-maintained lane markings to support sensor accuracy.",Roadway Departure,"Run-off-road, Fixed object","Driver inattention, fatigue, speeding, inadequate lane markings",Safe Vehicles,Tier 4: Increase attentiveness and awareness,Safer Vehicles,Keep vehicles from encroaching into opposite lane,Provide center two-way left-turn lanes for four- and two-lane roads,N/A,5,Moderate,New,LDWS; lane keeping; vehicle-based alert; unintentional departure; driver assistance; crash prevention
treatnew028,Electronic Stability Control (ESC),"Automobile Manufacturers, NHTSA/FHWA, Insurance Companies, Safety Advocacy Groups",xx,,,All,All,All,,,,All,All,All,,"A safety system that reduces traction loss by braking individual wheels, maintaining stability during emergency maneuvers or over/understeering.","Lane Departure Warning Systems (LDWS)
","Shoulder rumble strips
",Improve pavement friction,"1. Install ESC on all passenger vehicles and light-duty trucks.
2. Particularly effective on rural highways and high-speed roads prone to loss of control, rollovers, and roadway departure crashes due to adverse conditions, sharp turns, or driver inattention.
3. ESC can be integrated into new or retrofitted vehicles, using sensors and braking to maintain stability in emergencies.
4. NHTSA estimates that ESC can prevent 71% of passenger car rollovers and 84% of SUV rollovers in single-vehicle crashes.","In the SSA, ESC prevents rollovers and roadway departures by automatically braking individual wheels, improving stability and reducing crash severity, especially on high-risk roads with adverse conditions or sharp turns. It enhances overall vehicle safety and minimizes fatalities.","Proactive approaches include using vehicle telemetry to monitor ESC performance and inform safety programs. Insurance partnerships could offer discounts for ESC-equipped vehicles. Roadway improvements, like optimal friction and warning signs in high-risk areas, should complement ESC. Integrating ESC with ADAS and aligning with Vision Zero and Complete Streets can enhance road safety.",Roadway Departure,Run-off-road,"Loss of traction, sharp steering, slippery road conditions, high-speed curves",Safe Vehicles,Tier 4: Increase attentiveness and awareness,Safer Vehicles,Keep vehicles from encroaching into opposite lane,Provide center two-way left-turn lanes for four- and two-lane roads,N/A,5,Moderate to High,New,ESC; skid control; electronic intervention; loss of control prevention; vehicle stability; rollover risk reduction
treatnew030,Intelligent Speed Adaption (ISA),"Automobile Manufacturers, Technology Providers, State DOT, NHTSA/FHWA, Insurance Companies, Law Enforcement",7.9:1,,,All,All,All,,,,All,All,All,,"An in-vehicle technology that uses GPS and sensors to monitor and adjust vehicle speed, helping drivers comply with speed limits to reduce speeding-related crashes and improve road safety.","Automated speed enforcement cameras
","Lower posted speed (55 to 45 mph)
",Vehicle activated speed limit,"1. ISA systems should be applied to urban, suburban, and rural roadways where speeding-related crashes are prevalent, such as school zones, residential areas, and construction zones.
2. Integrated into vehicles to either provide advisory warnings or intervene by limiting acceleration to ensure compliance with posted speed limits.
3. NHTSA has highlighted ISA as a key component in promoting safe driving behavior and reducing the frequency of speed-related accidents.","ISA supports the Safe System Approach by addressing excessive speed, reducing crash likelihood and severity, especially in areas with vulnerable road users like pedestrians and cyclists. It helps ensuring adherence to posted speed limits.","Integrating speed-monitoring systems into vehicles to ensure adherence to speed limits before crashes occur. This includes using GPS, digital maps, and onboard sensors to monitor vehicle speeds in real-time, providing advisory warnings or limiting acceleration. The design should prioritize seamless integration with existing vehicle technologies, supported by accurate speed limit data, and align with broader initiatives.",Speeding,Speeding,"Driver failure to comply with speed limits, aggressive driving",Safe Speeds,Tier 3: Manage Conflicts in Time,Safer Vehicles,Keep vehicles from encroaching into opposite lane,Provide center two-way left-turn lanes for four- and two-lane roads,N/A,8,High,New,ISA; speed compliance; vehicle technology; intelligent control; geofencing; speed limiter
treatnew031,Seatbelt Law,"State Legislators, State DOT, Law Enforcement, Judicial Authorities, Safety Advocacy Groups, Community Associations",6:01,,,All,All,All,,,,All,All,All,,Seatbelt Laws are traffic safety regulations that require vehicle occupants to wear safety belts while driving or riding in a motor vehicle.,"High-Visibility Enforcement (HVE)
","Public Education and Outreach Programs
",Vehicle-Integrated Seatbelt Technologies,"Implement or upgrade to primary enforcement seatbelt laws at the state level to allow officers to cite unbelted drivers without needing another offense.
These laws vary by state and are categorized as either primary or secondary enforcement
Seatbelt laws work best when primary, comprehensive, and well-publicized with strong enforcement and targeted outreach, but are less effective when penalties are weak, enforcement is secondary or inconsistent, awareness is low.","Seatbelt laws enforcement aligns with the SSA by promoting the principle of Safer People and supporting the human tolerance for crash forces. While it does not prevent crashes, seatbelt use significantly reduces the severity of injury in those that do occur and helps to mitigate consequences when system failures happen.","Proactive implementation involves upgrading laws to primary enforcement through legislative action, allowing direct citations for non-use. Agencies can enhance effectiveness with high-visibility enforcement, targeted outreach to high-risk groups (e.g., rural drivers, teens, pickup occupants), and promotion of vehicle-integrated reminders and interlock systems to encourage consistent seatbelt use.",Occupant Protection,"Single Vehicle, Head-on, Opposite direction sideswipe, Run-off-road",Ejection from vehicle,Safe Road Users,N/A,Improved Safety Management,Maximize use of occupant restraints by all vehicle occupants,Conduct highly publicized enforcement campaigns to maximize restraint use. ,N/A,N/A,Low,Current,Seatbelt law; occupant protection; injury prevention; legal mandate; traffic safety policy
treatnew032,Seatbelt Enforcecment,"Law Enforcement Agencies, State DOT, Judicial Authorities, Safety Advocacy Groups",6:01,,,All,All,All,,,,All,All,All,,"It involves visible law enforcement actions to increase compliance with seatbelt laws, targeting high-risk groups to reduce crash-related injuries and fatalities.","High-Visibility Enforcement (HVE)
",Seatbelt Laws,Vehicle-Integrated Seatbelt Technologies,"1. Implement through high-visibility patrols and checkpoints in areas with historically low seatbelt usage or elevated crash rates involving unrestrained occupants.
2. Target enforcement efforts on rural roads, nighttime corridors, and among high-risk demographics such as young drivers and pickup truck occupants.
3. Seatbelt enforcement works best with high-visibility, data-driven campaigns (e.g., Click-It-or-Ticket), strong media outreach, but is less effective when sporadic, poorly publicized, low-visibility, reducing deterrence.","Promotes safer road users and reduces crash severity. Recognizing that human errors are inevitable, consistent and visible enforcement ensures that more occupants are properly restrained. It complements systemic efforts to protect all users, especially in high-risk environments.","Proactive seatbelt enforcement targets low-compliance areas and high-risk groups before crash patterns emerge. It uses data-driven site selection, mobile checkpoints, and seasonal campaigns. Efforts are strengthened through public health partnerships and alignment with national campaigns like Click It or Ticket.",Occupant Protection,"Single Vehicle, Head-on, Opposite direction sideswipe, Run-off-road",Ejection from vehicle,Safe Road Users,N/A,Improved Safety Management,Maximize use of occupant restraints by all vehicle occupants,Encourage the enactment of local laws that will permit standard enforcement of restraint laws. ,N/A,N/A,Low,Current,Seatbelt enforcement; law compliance; citation risk; primary enforcement; safety behavior change
treatnew033,Impaired Driving Education,"State DOT, Local Government, Schools/Universities, Community Associations, Safety Advocacy Groups, Nonprofits (MADD, etc.)",xx,,,All,All,All,,,,All,All,All,,It uses outreach and evidence-based programs to prevent crashes by promoting awareness and safer alternatives to alcohol- and drug-impaired driving.,"In-Vehicle Breathe Alcohol Testing
","Enforce DWI Laws
",Establish Stronger Penalties for BAC Test Refusal,"1. Implemented in communities with elevated rates of alcohol- or drug-impaired driving, particularly among youth, repeat offenders, and high-risk locations.
2. Programs are most effective when integrated with high-visibility enforcement campaigns, driver education curricula, and employer or hospitality-sector training.
3. Public awareness campaigns like NHTSA’s Drive Sober or Get Pulled Over have been shown to increase perceived risk and reduce impaired driving behaviors.","It promotes safer road users and reducing human error through informed decision-making. By raising awareness of the risks and consequences of impaired driving, these programs aim to prevent crashes before they occur, aligning with the proactive, preventative nature of the Safe System framework.","Proactive efforts include integrating impaired driving education into driver?s education, schools, workplaces, communities and licensing programs, using data-driven and geo-targeted media campaigns, and partnering with law enforcement and hospitality venues to promote safe ride planning before crashes occur. Collaboration with ride-share services and alcohol-serving establishments can promote safe ride planning.",Impaired Driving,"Speeding, Aggressive","Misjudgment, Visibility, Slower response",Safe Road Users,N/A,Improved Safety Management,Reduce Excessive Drinking and Underage Drinking,Require Responsible Beverage Service Policies for Alcohol Servers and Retailers ,N/A,N/A,Low,Current,Impaired driving; public awareness; alcohol education; community program; behavioral change
