CountermeasureID,Countermeasure,AreaType,minCMF,maxCMF,RoadType,minStarQuality,maxStarQuality,min_MinAADT,min_MaxAADT,CMF1 (min),CMF2 (max),CMF3 (mean),Short Description,Countermeasure 1,Countermeasure 2,Countermeasure 3,Key Stakeholder,How and where to apply,Use in a Safe System Approach,Proactive Implementation,Emphasis area,Target Crash,Contributing Factors,SSA Pillars,SSA Hierarchy,AASHTO,NCHRP 500 Series Objective,N500St,Road Type_TBD,Benefit-cost ratio,Service Life,Cost,Countermeasure Staus_OnlyforTool,Keyword_OnlyForTool,id,img
treat149,Install w-beam guardrail or concrete barrier,All,0.6,1.06,"Principal Arterial Other, Freeways and Expressways",4,4,35000,104600,CMF8376,CFM8356,CFM8346,"Installing W-beam guardrails or concrete barriers is a roadside safety countermeasure designed to shield motorists from fixed objects, steep slopes, drop-offs, or other roadside hazards.","Clear Zone Management
","Crash Cushions (Impact Attenuators)
",Breakaway Support Structures,"State Departments of Transportation (DOTs), Federal Highway Administration (FHWA)","1. Apply on road segments with steep slopes, bridge ends, or fixed roadside hazards where clear recovery zones are insufficient and vehicle departure risks are high.
2. Install using AASHTO MASH standards, selecting W-beam where deflection space is available and concrete barriers in high-speed, narrow, or high-impact zones for effective containment.
3. The FHWA states ?Guardrails are not designed to stop a vehicle, but to redirect it away from a hazard in a controlled manner?","W-beam guardrails and concrete barriers enhance roadside safety by preventing vehicles from striking hazardous features. They reduce crash severity by redirecting errant vehicles, making roads more forgiving of human error. These systems support survivable crashes and protect motorists, especially in high-risk roadside environments.","Proactive implementation involves identifying high-risk roadside locations through crash data and roadway assessments, then installing W-beam or concrete barriers before severe incidents occur. It emphasizes prevention by integrating safety hardware into road upgrades, ensuring consistent application, and maintaining standards to protect motorists from run-off-road and fixed-object crash hazards.",Roadway departure,Cross-median,"High-speed, Reduced visibility, Driver inattention/distration",Safe Roads,Tier 1: Remove severe conflicts,Safer Infrastructure,Reduce the severity of the crash,Improve design and application of barrier and attenuation systems,Principal Arterial Other Freeways and Expressways,,25,Moderate to High,Current,Barrier installation; run-off-road crash prevention; fixed object shielding; high-speed roads; longitudinal protection; roadway departure mitigation,96,treat149.png
treat150,Install w-beam guardrail,All,0.53,1.15,"Principal Arterial Other, Freeways and Expressways",4,4,35000,104600,CFM8423,CFM8397,CFM8393,"W-Beam guardrails prevent vehicles from leaving the roadway near hazardous areas like slopes, embankments, fixed objects, or drop-offs","Concrete Barriers
","Cable Median Barriers
",Clear Zone Improvements,"State Departments of Transportation (DOTs), Federal Highway Administration (FHWA), Roadway Design Engineers","1. Install on roads with steep slopes, drop-offs, or fixed objects near travel lanes to prevent severe crash outcomes.
2. Apply in rural, high-speed areas where clear zones are limited and roadside hazards pose significant risk to errant vehicles.
3. The FHWA states ?Run-off-road crashes account for over 50 percent of all traffic fatalities. Installing roadside barriers like W-beam guardrails can significantly reduce the severity of these crashes.?","W-Beam guardrails serve as forgiving infrastructure by minimizing crash severity when drivers make mistakes. Strategically placing them along high-risk road segments, especially in rural or high-speed zones, helps protect all users, reduces fatal run-off-road incidents, and supports system-wide resilience by addressing human error without relying solely on behavior change.","Identifying high-risk roadside areas through crash data and assessments allows early installation of W-Beam guardrails. This preventive strategy ensures safety features are integrated during road upgrades or construction, helping to reduce run-off-road crashes and protect motorists from impacts with embankments, fixed objects, or other roadside hazards.",Roadway departure,"Run-off-road, Head-on","High-speed, Reduced visibility, Driver inattention/distration",Safe Roads,Tier 1: Remove severe conflicts,Safer Infrastructure,Reduce the severity of the crash,Improve design and application of barrier and attenuation systems,Principal Arterial Other Freeways and Expressways,,25,Moderate to High,Current,Guardrail; edge protection; crash containment; roadside safety; longitudinal barrier; moderate cost; roadside hazard mitigation,97,treat150.png
treat151,Decrease lane width from 11 feet to 10 feet,Urban,1.38,1.38,All,4,4,100,19480,CFM8171,CFM8171,,"Reducing lane widths from 11 feet to 10 feet is a geometric design strategy used to moderate vehicle speeds, reallocate road space for other users, and improve overall street safety.","Road Diets
","Curb Extensions
",Raised Crosswalks,"City Transportation Departments, State Departments of Transportation (DOTs), Metropolitan Planning Organizations (MPOs)","1. Implement during roadway resurfacing projects to restripe existing lanes and reallocate space without requiring costly full-depth reconstruction efforts.
2. Ideal for urban arterials, school zones, and transit corridors where pedestrian, cyclist, and vehicle interactions demand speed moderation.
3. The NACTO states ?In urban settings, 10-foot travel lanes are appropriate and desirable as they support a safer, more efficient street.?","Reducing lane width aligns with the Safe System Approach by promoting Safer Roads and Safer Speeds. It moderates vehicle operating speeds, enhances space for vulnerable users, and reduces the likelihood and severity of crashes. It supports a forgiving environment that considers human error and limits crash forces to survivable levels.","Integrate 10-foot lane designs during resurfacing or street redesign projects, prioritizing areas with high pedestrian and cyclist activity. Coordinate with transit agencies and emergency services to ensure compatibility. Use pilot programs and quick-build methods to test lane reductions before permanent changes, supported by community engagement and context-sensitive design principles.",Speeding,Speeding,"Unsafe speed, Aggressive driving behaviors",Safe Speeds,Tier 2: Reduce Vehicle Speeds,Safer Infrastructure,Ensure that roadway design and traffic control elements support appropriate and safe speeds,"Use combinations of geometric elements to control speeds (horizontal and vertical curves, cross section), including providing design consistency along an alignment ",All,,20,Moderate,Current,Lane narrowing; moderate-cost; speed reduction; restriping; operational safety; urban roads; traffic calming,98,treat151.png
treat152,Decrease lane width from 11 feet to 9 feet,Urban,0.41,0.53,All,4,4,100,19480,CFM8173,CFM8173,,Reducing lane widths from 11 feet to 9 feet is a speed management strategy that reallocates road space to support multimodal safety and traffic calming.,"Road Diets
","Curb Extensions
",Raised Crosswalks,"City Transportation Departments, State Departments of Transportation (DOTs), Metropolitan Planning Organizations (MPOs)","1. Apply 9-foot lanes on neighborhood streets or school zones where low speeds and high pedestrian activity demand safer conditions.
2. Implement through restriping or curb extensions in constrained corridors to reallocate space for sidewalks, bikeways, or landscaping.
3. The NACTO states ?Narrower lanes can reduce speeds, enhance safety for all users, and are acceptable in low-speed environments?",This treatment supports the Safe System Approach by reducing operating speeds and reallocating space toward safer modes of travel. It promotes Safer Speeds and Safer Roads in environments where human error is expected and should be accommodated with lower-severity outcomes.,"Introduce 9-foot lanes during street resurfacing or redesigns in residential areas, school zones, and constrained corridors. Coordinate with emergency services for access needs. Use quick-build methods like striping or curb extensions to pilot changes, and apply design guidance from FHWA, NACTO, and local agencies to ensure appropriate application.",Speeding,Speeding,"Unsafe speed, Aggressive driving behaviors",Safe Speeds,Tier 2: Reduce Vehicle Speeds,Safer Infrastructure,Ensure that roadway design and traffic control elements support appropriate and safe speeds,"Use combinations of geometric elements to control speeds (horizontal and vertical curves, cross section), including providing design consistency along an alignment ",All,,20,Moderate,Current,Lane narrowing; high-impact; significant speed reduction; exposure mitigation; visual narrowing; urban setting; crash risk reduction,99,treat152.png
treat153,Reduce lane width from 10 ft to 9 ft,Urban,0.46,0.57,All,4,4,100,19480,CFM8178,CFM8177,,Reducing lane widths from 10 feet to 9 feet is a speed management and space reallocation strategy aimed at calming traffic and improving safety for vulnerable road users.,"Road Diets
","Curb Extensions
",Raised Crosswalks,"City Transportation Departments, State Departments of Transportation (DOTs), Metropolitan Planning Organizations (MPOs)","1. Use 9-foot lanes on shared streets or woonerfs to reinforce slow-speed environments and prioritize pedestrian and cyclist safety.
2. Apply in low-speed urban areas with limited space, reallocating excess lane width for transit stops, trees, or buffers.
3. The FHWA states ?Narrower lanes, down to 9 feet are appropriate in very low-speed environments where multimodal use and pedestrian activity dominate?","This treatment aligns with the Safe System Approach by promoting Safer Speeds and Safer Roads, reducing crash forces to survivable levels and providing better protection for all users, especially those outside vehicles.","Introduce 9-foot lanes during street resurfacing or redesigns in residential areas, school zones, and constrained corridors. Coordinate with emergency services for access needs. Use quick-build methods like striping or curb extensions to pilot changes, and apply design guidance from FHWA, NACTO, and local agencies to ensure appropriate application.",Speeding,Speeding,"Unsafe speed, Aggressive driving behaviors",Safe Speeds,Tier 2: Reduce Vehicle Speeds,Safer Infrastructure,Ensure that roadway design and traffic control elements support appropriate and safe speeds,"Use combinations of geometric elements to control speeds (horizontal and vertical curves, cross section), including providing design consistency along an alignment ",All,,20,Low,Current,Lane narrowing; low-cost; speed control; geometric constraint; minor reconfiguration; restriping; conflict energy reduction,100,treat153.png
treat156,Improve pavement friction (increase skid resistance),All,0.217,1.687,Not specified,4,4,1814,185570,CFM2269,CFM2290,CFM2278,"Improving pavement friction enhances tire grip, especially in wet conditions, reducing skidding and crash risks.","Pavement grooving
","Rumble strips
",High-friction overlays on bridge decks,"State DOTs, local law enforcement agencies","1. Apply at curves, intersections, downhill grades, or locations with high crash rates related to skidding or loss of control, especially during wet conditions.
2. Use high friction surface treatments (HFST), grooving, or textured overlays, following FHWA guidelines to ensure proper material selection, surface preparation, and application methods.
3. Follow FHWA guidelines, ensuring proper surface preparation, use of approved high-friction materials, and installation under dry conditions with temperatures above manufacturer-recommended minimums for effective bonding.","Improving pavement friction supports the Safe System Approach by enhancing control and reducing crashes, especially in wet or curved areas, aligning with Tier 3 conflict management.","Proactive implementation involves identifying high-risk locations like curves, intersections, or downhill segments with crash patterns related to skidding or loss of control. Agencies should use skid resistance testing and crash data to prioritize sites for treatment before severe incidents occur. Applying high-friction surface treatments in advance improves safety and prevents future crashes, especially under wet conditions.",Roadway departure,"Run-off-road, Head-on","Reduced vehicle control, Inadequete skid resistance",Safe Roads,Tier 3: Manage Conflicts in Time,Safer Drivers and Passengers,Keep vehicles from encroaching on the roadside,Provide skid-resistant pavement surfaces,Not Specified,26.7:1,10,Moderate,Current,Wet pavement safety; crash prevention; high-friction surface treatment,101,treat156.png
treatnew001,Protected Intersection,Urban,,,Not specified,,,,,,,,A protected intersection uses physical elements to separate users and enhance safety for pedestrians and cyclists at crossings.,"Dedicate bike signals
","Raised crosswalks
",High-visibility crosswalks,"Transportation agencies, 
Bicycle and pedestrian safety planners","1. Protected intersections are most effective at urban and suburban intersections with high pedestrian and bicycle activity.
2. They can be implemented at new intersections or retrofitted into existing ones as part of complete streets projects.
3. According to FHWA guidance, key features include corner refuge islands, setback crossings, vehicle setback stop lines, and separated bike facilities that connect seamlessly through the intersection.",A protected intersection uses physical elements to separate users and enhance safety for pedestrians and cyclists at crossings.,"Agencies can use crash data, speed studies, and community input to identify intersections that would benefit from protected designs. Systematic implementation may target corridors with frequent turning movements, high vehicle speeds, or significant pedestrian and bicycle volumes. Protected intersections can be added during major repaving, intersection redesigns, or complete streets projects.",Pedestrian and Bicyclists,Intersection-related,"Turning vehicles,  high-speed vehicle interactions",Safe Road Users,Tier 1: Remove severe conflicts,Safer Vulnerable Users,Reduce bicycle crashes at intersections,Improve intersection geometry ,,xx,20,High,New,Protected intersection; conflict reduction; bike-pedestrian safety; corner refuge; sightlines; turning control,102,treatnew001.jpg
treatnew004,Self Enforcing Roads,Urban and Suburban,,,Not specified,,,,,,,,Self-enforcing roads are designed with physical and visual elements that naturally encourage drivers to travel at safe speeds without the need for frequent enforcement.,"Narrowed lane widths and edge lines
","Horizontal alignment or chicanes
",Raised crosswalks and curb extensions,"State and local roadway design engineers
Traffic safety and speed management planners ","1. These treatments are ideal for corridors with speeding concerns?especially in residential, school, or transition zones between high-speed and low-speed areas.
2. They can be implemented through new designs or retrofitted using speed-reducing geometry, narrowed lanes, horizontal deflection, and high-contrast pavement markings.
3. According to FHWA, roads should be ?designed to match the desired operating speed? through consistent visual cues and roadway geometry.","Supports safer speeds and roads by relying less on enforcement and using roadway design to naturally reinforce speed limits. Self-enforcing roads reduce kinetic energy exposure and promote predictable driver behavior, aligning with the Safe System goal of minimizing injury severity.","Agencies can apply systemic analysis to identify corridors where observed speeds exceed posted limits. Integration into complete streets policies and corridor reconstruction projects can yield low-cost, long-term speed compliance benefits. Treatments such as gateway signage, narrow lane striping, and roadside environment changes can create intuitive, self-regulating environments.",Speeding,"Speeding, VRUs","Speeding, driver complacency",Safe Road Users,Tier 2: Reduce Vehicle Speeds,Safer Infrastructure,Keep vehicles from encroaching into opposite lane,Provide center two-way left-turn lanes for four- and two-lane roads,,2.7:1,20,High,New,Self-enforcing design; road geometry; speed control; behavioral design; passive enforcement; traffic calming,103,treatnew004.png
treatnew005,Raised Crosswalk,Urban,,,Not specified,,,,,,,,"A raised crosswalk is a marked pedestrian crossing built on a flat-topped speed table, designed to slow vehicles and improve pedestrian visibility and safety.",Install curb extensions,Add pedestrian refuge islands,Install pedestrian hybrid beacons,"Local and state transportation agencies, 
Pedestrian safety planners","1. Raised crosswalks are effective at mid-block or intersection crossings with moderate-to-high pedestrian activity.
2. Best suited for local or collector roads with posted speeds of 30 mph or lower.
3. According to FHWA, they are recommended where improved driver yielding and pedestrian crash reduction is needed.","Supports Safer Speeds by physically reducing vehicle speed at crossings, and Safer Users by making pedestrians more visible and reinforcing their priority in the roadway. The vertical element increases attentiveness and improves crossing safety through separation in space and speed control?key to reducing both crash risk and severity.","Raised crosswalks can be installed proactively using data-driven screening approaches. Common indicators include high pedestrian activity, school zones, or midblock crossings without signals. Systemic risk factors like speeding, low yielding rates, or documented near misses are often used for location prioritization. Raised crosswalks may also be bundled into broader traffic calming programs.",Pedestrian and Bicyclists,Crossing-related,"High-speed pedestrian-vehicle conflicts, reduced  visibility, failure to yield",Safe Speeds,Tier 2: Reduce Vehicle Speeds,Safer Vulnerable Users,Reduce Pedestrian Exposure to Vehicular Traffic,Construct Pedestrian Refuge Islands and Raised Medians ,,,20,Moderate,New,Raised crosswalk; vertical deflection; pedestrian priority; speed reduction; intersection safety; visibility,104,treatnew005.jpg
treatnew006,Gateways,All,,,Not specified,,,,,,,,"Gateway treatments are low-cost visual or physical roadway features installed at transition points (e.g., entrances to residential or village areas) to alert drivers that a lower speed environment is beginning.","Install Speed Feedback Signs
",Implement horizontal deflection,Use transverse pavement markings,"Local and state transportation agencies, 
Urban and rural traffic planners","1. Installed at entrances to communities, school zones, or speed transition zones where drivers need to slow down quickly and consistently.
2. Effective at reducing speeds on roads transitioning from high-speed rural/arterial sections into lower-speed village, school, or residential areas.
3. According to FHWA, treatments may include elements like narrowed lanes, pavement markings, signs, vertical features (e.g., posts or arches), or contrasting pavement materials to create a visual ""gate.?","Gateway treatments support the Safe System principle of Safer Speeds by clearly signaling a transition to a lower-speed context, thereby encouraging drivers to reduce their speed in a self-enforcing manner.","Gateway treatments can be implemented as part of corridor-wide speed management or traffic calming strategies. They may be proactively deployed at locations with documented speeding issues or a history of crashes, or in response to community-requested safety improvements. These treatments are also suitable for transition zones leading into areas with vulnerable road users, such as schools, senior centers, or parks.",Speeding,Speeding,"Abrupt speed changes, reduced driver awareness entering urban areas",Safe Speeds,Tier 2: Reduce Vehicle Speeds,Safer Infrastructure,Ensure that roadway design and traffic control elements support appropriate and safe speeds,Effect safe speed transitions through design elements and on approaches to lower speed areas ,,xx,10,Moderate,New,Gateways; transition zone; speed cue; neighborhood entry; traffic calming; psychological narrowing,105,treatnew006.jpg
treatnew007,Speed Hump,Urban,,,Not specified,,,,,,,,"Speed humps are parabolic traffic calming devices used on low-speed, low-volume roads to reduce vehicle speeds to 15?20 mph",Reduced lane widths,Road diet,Center island or median,"State and local transportation agencies, municipal public works departments, utility companies",,,,Speeding,"Speeding, VRUs","Excessive vehicle speeds,  reduced reaction time",Safe Speeds,Tier 2: Reduce Vehicle Speeds,Safer Infrastructure,Heighten driver awareness of speeding-related safety issues,Implement neighborhood speed watch/traffic management programs (Low Speed Only) ,,18.2:1,10,Moderate,New,Speed hump; traffic calming; vertical deflection; speed control; low-speed environment; residential safety,106,treatnew007.jpg
treatnew008,Pedestrian Scramble,Urban,,,Not specified,,,,,,,,"A pedestrian scramble halts all vehicle traffic to allow pedestrians to cross in all directions, at intersections with high pedestrian and turning vehicle volumes.","Leading Pedestrian Interval (LPI)
","Curb Extensions (Bulb-outs)
",Accessible Pedestrian Signals (APS),"City Traffic Engineers and Planners, municipal public works departments, utility companies","1. Apply at signalized intersections experiencing high pedestrian volumes and frequent vehicle turning movements that create conflict and safety concerns.
2. Ideal for downtown areas, near schools, or busy transit hubs where enhancing pedestrian priority, comfort, and safety is a key goal.
3. The FHWA states that this marking can be used ?Providing an exclusive pedestrian phase?such as a pedestrian scramble?can significantly reduce vehicle-pedestrian conflicts, especially at intersections with high turning volumes.?","Pedestrian scrambles manage conflict in time, eliminating vehicle-pedestrian interaction during crossings, reducing crash risk, enhancing visibility, and supporting multimodal safety in high-foot-traffic areas under SSA principles.","Proactively identify intersections with high pedestrian volumes, crash history, or frequent turning conflicts using data analysis and on-site evaluations. Implement pedestrian scrambles during signal retiming, safety audits, or capital improvements to reduce crash risk, enhance walkability, and support long-term Vision Zero or Complete Streets goals.",Pedestrian and Bicyclists,Intersection-related,"Jaywalking, lack of pedestrian crossing priority",Safe Road Users,Tier 3: Manage Conflicts in Time,Safer Vulnerable Users,Reduce Pedestrian Exposure to Vehicular Traffic,Install or Upgrade Traffic and Pedestrian Signals,,xx,10,Moderate to High,New,Pedestrian scramble; diagonal crossing; exclusive pedestrian phase; intersection safety; pedestrian priority; signal timing,107,treatnew008.jpg
treatnew011,Medians and Pedestrian Refuge Islands,Urban,,,Not specified,,,,,,,,This is a median area designed to protect pedestrians crossing multi-lane roads by providing a safe midpoint between opposing traffic lanes.,"Raised Crosswalks
","Leading Pedestrian Intervals (LPI)
",High-Visibility Crosswalk Markings,"City and State Transportation Agencies , Traffic Engineers and Urban Planners, Pedestrian and Accessibility Advocacy Groups","1. Use on multilane roads with three or more lanes, speeds of 35 mph or higher, and traffic volumes exceeding 9,000 vehicles daily.
2. Apply at midblock or unsignalized crossings where high pedestrian activity and insufficient crossing time increase exposure and crash risk..
3. The FHWA states that this marking can be used ?Raised medians and pedestrian refuge islands at marked crosswalks reduce pedestrian crashes by 46% and 56%, respectively.?","Medians and refuge islands support the Safe System Approach by reducing pedestrian exposure time, managing speeds, simplifying crossings, and providing protection in multilane environments with high-speed or high-volume traffic.","Identify multilane corridors with high pedestrian activity, crash history, or speed issues using safety audits and traffic data. Install medians and refuge islands during repaving, safety upgrades, or corridor redesigns to reduce pedestrian risk before severe incidents occur, especially near schools, transit, or senior facilities.",Pedestrian and Bicyclists,Crossing-related,"Difficulty for pedestrians crossing wide roads, midblock pedestrian-vehicle conflicts",Safe Road Users,Tier 1: Remove severe conflicts,Safer Vulnerable Users,Reduce Pedestrian Exposure to Vehicular Traffic,Construct Pedestrian Refuge Islands and Raised Medians ,,xx,20,Moderate to High,New,Median island; pedestrian refuge; midblock safety; crossing aid; access management; conflict reduction,108,treatnew011.jpg
treatnew012,Walkways,Urban,,,Not specified,,,,,,,,"Walkways significantly enhance pedestrian safety and mobility by providing dedicated, accessible walking spaces along roadways.",Raised Crosswalks,Advance yield markings,Pedestrian refuge islands,"Local and State Transportation Agencies, Metropolitan Planning Organizations (MPOs) , Community Advocacy and Accessibility Groups","1. Install sidewalks or shoulders on roads with pedestrian activity, crash history, or near schools, bus stops, or transit stations to improve pedestrian safety and access.
2. Apply in urban, suburban, and rural areas where dedicated pedestrian facilities are missing and sufficient right-of-way exists for walkway or shoulder installation.
3. The FHWA affirms that walkways are a fundamental countermeasure, stating: ?Providing pedestrian facilities reduces crashes and improves safety, especially for the most vulnerable road users.?","The Safe System Approach prioritizes human life by designing roadways that accommodate human error and reduce crash severity. For pedestrians, this means providing dedicated, accessible walkways that separate them from traffic, minimizing conflict points and protecting vulnerable users in alignment with FHWA?s vision for safer, more forgiving transportation systems.","Integrate walkway improvements into routine resurfacing, reconstruction, and capital projects. Use crash data, equity mapping, and community input to identify high-risk areas lacking pedestrian infrastructure and prioritize investment where it can prevent crashes, enhance connectivity, and serve vulnerable populations before incidents occur.",Pedestrian and Bicyclists,Crossing-related,"Pedestrian exposure to vehicular traffic, lack of safe space for walking",Safe Road Users,Tier 1: Remove severe conflicts,Safer Vulnerable Users,Reduce Pedestrian Exposure to Vehicular Traffic,Provide Sidewalks/Walkways and Curb Ramps ,,2:1,20,Moderate to High,New,Walkways; pedestrian path; walking infrastructure; nonmotorized mobility; safety access; sidewalk alternative,109,treatnew012.jpg
treatnew014,Urban signalized with vertical approach deflections,Urban,,,Not specified,,,,,,,,"A ""vertical approach deflection"" in the context of urban signalized intersections refers to a traffic calming measure that uses physical changes in the road's vertical profile to encourage drivers to slow down. ",Raised Crosswalks,High-Visibility Crosswalk Markings,Signal Timing Adjustments,"State and local transportation agencies, municipal public works departments, utility companies","1. Apply at busy urban intersections near schools, transit stops, or downtowns to reduce speeds and enhance pedestrian safety.
2. Use during safety upgrades where crashes or speeding are common, ensuring drainage, ADA access, and emergency vehicle compatibility.
3. The FHWA states that this marking can be used ?Recommended for high-pedestrian urban intersections, especially near schools or transit zones, to enforce speed control and prioritize pedestrian safety at signalized locations.?","Consistent with the Safe System Approach, vertical approach deflections are recommended at signalized urban intersections with high pedestrian activity such as near schools or transit stops to reduce vehicle speeds, minimize crash severity, and enhance pedestrian safety by creating a more forgiving and speed-managed environment.","Proactive implementation of vertical approach deflections at signalized urban intersections supports the Safe System Approach by reducing vehicle speeds before crashes occur. Prioritizing areas with high pedestrian activity?such as school zones and transit corridors?helps prevent severe outcomes, improves yielding behavior, and enhances overall safety for vulnerable road users.",Speeding,Intersection-related,"Failure to recognize traffic signals, abrupt braking",Safe Speeds,Tier 2: Reduce Vehicle Speeds,Safer Infrastructure,Keep vehicles from encroaching into opposite lane,Provide center two-way left-turn lanes for four- and two-lane roads,,xx,20,High,New,Vertical deflection; urban signals; approach speed control; signalized intersection; raised approach; traffic calming,110,treatnew014.jpg
treatnew015,Vehicle activated speed limit,Urban and Suburban,,,Not specified,,,,,,,,"Protective blisters, also known as tactile paving or truncated domes, are textured ground surface indicators installed at pedestrian crossings and curb corners",Dynamic Speed Display Signs (DSDS),School Zone Flashing Beacons,Speed Feedback Trailers,"Transportation Agencies, Local Governments, Law Enforcement","1. Install protective blisters at curb ramps and crosswalk corners to alert visually impaired pedestrians of the roadway transition and improve intersection safety.
2. Apply tactile blisters in transit platforms, pedestrian islands, and shared spaces to guide users where curbs or crossings may not be visually distinct.
3. Ensure blisters align with the crossing direction, use high-contrast colors, and meet accessibility standards to support safe, independent navigation for all pedestrians.","Apply a Safe System approach by installing protective blisters to support vulnerable users, especially the visually impaired. These features acknowledge human limitations, reduce crossing-related risks, and enhance intersection safety by creating a predictable, accessible, and forgiving environment that prevents harm even when pedestrian or driver errors occur.","Proactive implementation involves installing protective blisters before complaints or incidents arise, especially in pedestrian-heavy or high-risk locations. By identifying potential barriers and hazards early through audits, community input, or safety assessments agencies can enhance accessibility, reduce injury risk, and align with Safe System and universal design principles. ",Speeding,Speeding,"Speeding, risky overtaking",Safe Speeds,Tier 4: Increase attentiveness and awareness,Improved Safety Management,Heighten driver awareness of speeding-related safety issues,Implement neighborhood speed watch/traffic management programs (Low Speed Only) ,,xx,10,Moderate,New,Vehicle activated sign; dynamic speed display; real-time warning; speed limit compliance; rural safety; behavioral feedback,111,treatnew015.jpg
treatnew016,Protective blisters on corners,Urban and Suburban,,,Not specified,,,,,,,,Vehicle setback refers to the restriction of parking or stopping vehicles within a defined distance typically 20 to 30 feet from intersections or pedestrian crossings.,No-Parking Signage and Pavement,Flexible Bollards or Planters,Pedestrian Refuge Islands,"Local Transportation and Public Works Departments, City or Municipal Governments.","1. Establish no-parking zones 20?30 feet from intersections or crosswalks using signage, pavement markings, and where feasible, curb extensions or flexible bollards to physically prevent illegal parking and improve visibility.
2. Target urban streets with on-street parking, especially at unsignalized intersections, midblock crossings, school zones, and areas with high pedestrian volumes or a history of visibility-related crashes.
3. Update local ordinances, educate the public about visibility risks, and coordinate with transit and emergency services to ensure operational needs are met while maintaining safety benefits.","Vehicle setbacks align with the Safe System approach by proactively addressing human limitations and prioritizing visibility at intersections. By removing parked vehicles near crosswalks and corners, setbacks reduce the likelihood of crashes and the severity of injuries especially for vulnerable users like children, older adults, and people with disabilities. ",,Pedestrian and Bicyclists,Encroachment-related,"Reduced visibility, vehicle encroachment into pedestrian/bicycle zones",Safe Roads,Tier 2: Reduce Vehicle Speeds,Safer Vulnerable Users,Reduce Pedestrian Exposure to Vehicular Traffic,Provide Vehicle Restriction/Diversion Measures,,xx,20,Moderate,New,Corner blisters; protective curb extension; pedestrian safety; intersection corner treatment; space buffer; visibility,112,treatnew016.jpg
treatnew017,Vehicle setback,Urban and Suburban,,,Not specified,,,,,,,,Vehicle setback refers to the restriction of parking or stopping vehicles within a defined distance typically 20 to 30 feet from intersections or pedestrian crossings.,No-Parking Signage and Pavement,Pedestrian Refuge Islands,Flexible Bollards or Planters,"City transportation and traffic agencies, 
Bicycle advocacy organizations",,,,Pedestrian and Bicyclists,Improper turn,"Driver misjudgment, failure to yield",Safe Roads,Tier 4: Increase attentiveness and awareness,Safer Vulnerable Users,Reduce Pedestrian Exposure to Vehicular Traffic,Provide Vehicle Restriction/Diversion Measures,,xx,3,Low,New,Vehicle setback; driveway safety; visibility triangle; pedestrian sight distance; driveway control; urban design,113,treatnew017.jpg
treatnew019,"Improved delineation (painted bicycle lanes, buffered bicycle lanes)",Urban,,,Not specified,,,,,,,,"Improved delineation uses pavement markings and buffers to define bicycle space, enhancing safety, visibility, and separation from motor vehicles.",Protected Bicycle Lanes,Intersection Bicycle Boxes,Traffic Calming Measures,"State and local transportation agencies, 
Pedestrian and bicycle planners",,,,Pedestrian and Bicyclists,"Right turn, Sideswipe","Reduced visibility, failure to yield",Safe Roads,Tier 4: Increase attentiveness and awareness,Safer Vulnerable Users,Reduce bicycle crashes along roadways,Provide safe roadway facilities for parallel travel ,,xx,3,Low,New,Bicycle lane markings; buffered bike lane; painted bike lane; lane visibility; visual separation; bike safety,114,treatnew019.jpg
treatnew020,Bicycle Box,Urban,,,Not specified,,,,,,,,A bicycle box is a marked area at the front of a signalized intersection between the vehicle stop line and the crosswalk.,Leading Bicycle Intervals (LBI),Dedicated Bicycle Signals,Protected Intersections,"Government agencies (transportation departments, law enforcement), Vehicle manufacturers. 
",,,,Pedestrian and Bicyclists,Failure to yield,"Reduced visibility, confusion about right of way",Safe Roads,Tier 3: Manage Conflicts in Time,Safer Vulnerable Users,Reduce bicycle crashes at intersections,Improve pavement markings at intersections ,,xx,3,Low,New,Bike box; advanced stop line; cyclist visibility; intersection safety; head start; conflict mitigation,115,treatnew020.jpg
treatnew021,Raised Intersection,Urban,,,Not specified,,,,,,,,"A raised intersection elevates the entire intersection surface to the level of the adjacent sidewalks, creating a continuous, level crossing for pedestrians and a traffic-calming effect for vehicles. ",Raised Crosswalks,Mini-Roundabouts,Textured or Colored Pavement,"State DOTs, local law enforcement agencies",,,,Pedestrian and Bicyclists,Crossing-related,"Approach speed, failure to yield, reduced visibility",Safe Road Users,Tier 2: Reduce Vehicle Speeds,Safer Vulnerable Users,Reduce Pedestrian Exposure to Vehicular Traffic,Construct Pedestrian Refuge Islands and Raised Medians ,,0.207,20,Moderate to High,New,Raised intersection; vertical deflection; speed reduction; crosswalk visibility; pedestrian safety; intersection leveling,116,treatnew021.jpg
treatnew022,Horizontal Deflection,Urban and Suburban,,,Not specified,,,,,,,,"Horizontal deflection involves altering a vehicle?s path laterally using roadway geometry, encouraging drivers to reduce speed",Raised Crosswalks,High-Visibility Crosswalks,Mini-Roundabouts,"Transportation agencies and bicycle infrastructure planners, 
Municipal engineering departments",,,,Intersection,Speeding,"Excessive approach speed, failure to slow",Safe Speeds,Tier 2: Reduce Vehicle Speeds,Safer Vulnerable Users,Improve sight distance at unsignalized intersections,Change horizontal and/or vertical alignment of approaches to provide more sight distance,,xx,20,Moderate,New,Horizontal deflection; chicanes; lateral shift; lane deviation; speed calming; roadway geometry,117,treatnew022.jpg
